05-12-2018 04:20:26 - ===============================Started Adding License Comments, Project - C:\GitHubRepository\Ginger\Ginger===============================
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\App.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\AppProgressBar.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ChartItems.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\ClosingWindow.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\General.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\GingerHelperWindow.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\MainWindow.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\MemoryChart.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\NewsPage.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\RingBuffer.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Solution.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\SplashWindow.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\StartPage.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerATS\GingerATS.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerATS\GingerATSLog.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerATS\GingerATSRepositoryIndexer.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerATS\GingerATSSVNSourceControl.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerATS\GingerATSXmlReader.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerATS\GingerRepositoryItem.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerATS\SourceConnectionDetails.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerATS\StepAutoStatus.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerATS\StepParamAutoStatus.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerATS\TestCaseAutoStatus.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerAutoPilotTest\SwaggetTests.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerAutoPilotTest\TestAssemblyInit.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerConsole\GingerConsoleWorkSpace.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerConsole\Program.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\BusinessFlow.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCore\ValueExpression.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerCoreCommonTest\TestAssemblyInit.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerHelper\App.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerHelper\GingerHelperHandler.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerHelper\MainWindow.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerPlugIns\ExtensionMethods.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerPlugIns\IGingerPlugIn.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerPlugIns\PlugInCapability.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerTest\GingerAutomator.cs
05-12-2018 04:20:26 - Earlier - False, License Added - True, FileName - C:\GitHubRepository\Ginger\Ginger\GingerTest\GingerBasicsTest.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerTest\Scenarios.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerTest\TestAssemblyInit.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerUtils\MRUManager.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerWPFDriverWindow\App.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\GingerWPFDriverWindow\MainWindow.xaml.cs
05-12-2018 04:20:26 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Unit Tests\RestTest.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Unit Tests\TestAssemblyInit.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActAgentManipulationEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActASCFControlEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActBrowserElementEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActButtonEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActCheckboxEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActClearAllVariablesEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActCompareImgsEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActConsoleCommandEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActCreatePDFChartEditPage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActDataSourcePage.xaml.cs
05-12-2018 04:20:27 - Earlier - True, License Added - False, FileName - C:\GitHubRepository\Ginger\Ginger\Ginger\Actions\ActDemoPageEditPage.xaml.cs
